,TRUE,estimate,truemin,,Notes: ,
1,0.176684088,0.035619298,0.141064791,,Training %,Test %
2,0.054152149,0.137550705,-0.083398556,,50,50
3,0.169715447,0.094775242,0.074940205,,,
4,0.022357724,0.009246006,0.013111718,,,
5,0.091173055,0.084471742,0.006701312,,,
6,0.150987224,0.019696329,0.131290896,,,
7,0.066782811,0.012628593,0.054154218,,,
8,0.023664344,0.027571655,-0.003907312,,,
9,0.007694541,0.034626105,-0.026931564,,,
10,0.006823461,0.026693359,-0.019869898,,,
12,0.048490128,0.216078251,-0.167588123,,,
13,0.007839721,0.054177986,-0.046338265,,,
14,0.005226481,0.016903262,-0.011676781,,,
15,0.019308943,0.018285279,0.001023664,,,
16,0.012340302,0.102381686,-0.090041384,,,
17,0.015534262,0.031663713,-0.016129451,,,
18,0.00232288,0.005192051,-0.00286917,,,
19,0.004065041,0.008892591,-0.004827551,,,
20,0.088559814,0.058326112,0.030233702,,,
21,0.026277584,0.005220035,0.021057549,,,
