ROWID,TRUTH,TRAININGSET
1.txt,9,1
2.txt,9,1
3.txt,15,1
4.txt,15,1
5.txt,2,1
6.txt,2,1
7.txt,1,1
8.txt,1,1
9.txt,10,1
10.txt,10,1
11.txt,8,1
12.txt,8,1
13.txt,2,1
14.txt,2,1
15.txt,15,1
16.txt,15,1
17.txt,19,1
18.txt,19,1
19.txt,6,1
20.txt,6,1
21.txt,1,1
22.txt,1,1
23.txt,6,1
24.txt,6,1
25.txt,5,1
26.txt,5,1
27.txt,5,1
28.txt,5,1
29.txt,20,1
30.txt,20,1
31.txt,1,1
32.txt,1,1
33.txt,20,1
34.txt,20,1
35.txt,20,1
36.txt,20,1
37.txt,20,1
38.txt,20,1
39.txt,5,1
40.txt,5,1
41.txt,5,1
42.txt,5,1
43.txt,20,1
44.txt,20,1
45.txt,20,1
46.txt,20,1
47.txt,20,1
48.txt,20,1
49.txt,20,1
50.txt,20,1
51.txt,1,1
52.txt,1,1
53.txt,5,1
54.txt,5,1
55.txt,5,1
56.txt,5,1
57.txt,5,1
58.txt,5,1
59.txt,5,1
60.txt,5,1
61.txt,20,1
62.txt,20,1
63.txt,20,1
64.txt,20,1
65.txt,16,1
66.txt,16,1
67.txt,20,1
68.txt,20,1
69.txt,12,1
70.txt,12,1
71.txt,20,1
72.txt,20,1
73.txt,3,1
74.txt,3,1
75.txt,20,1
76.txt,20,1
77.txt,15,1
78.txt,15,1
79.txt,7,1
80.txt,7,1
81.txt,20,1
82.txt,20,1
83.txt,20,1
84.txt,20,1
85.txt,7,1
86.txt,7,1
87.txt,20,1
88.txt,20,1
89.txt,20,1
90.txt,20,1
91.txt,20,1
92.txt,20,1
93.txt,20,1
94.txt,20,1
95.txt,20,1
96.txt,20,1
97.txt,2,1
98.txt,2,1
99.txt,20,1
100.txt,20,1
101.txt,10,1
102.txt,10,1
103.txt,20,1
104.txt,20,1
105.txt,2,1
106.txt,2,1
107.txt,20,1
108.txt,20,1
109.txt,20,1
110.txt,20,1
111.txt,20,1
112.txt,20,1
113.txt,20,1
114.txt,20,1
115.txt,2,1
116.txt,2,1
117.txt,2,1
118.txt,2,1
119.txt,20,1
120.txt,20,1
121.txt,13,1
122.txt,13,1
123.txt,1,1
124.txt,1,1
125.txt,6,1
126.txt,6,1
127.txt,20,1
128.txt,20,1
129.txt,1,1
130.txt,1,1
131.txt,20,1
132.txt,20,1
133.txt,1,1
134.txt,1,1
135.txt,20,1
136.txt,20,1
137.txt,1,1
138.txt,1,1
139.txt,20,1
140.txt,20,1
141.txt,20,1
142.txt,20,1
143.txt,20,1
144.txt,20,1
145.txt,20,1
146.txt,20,1
147.txt,17,1
148.txt,17,1
149.txt,1,1
150.txt,1,1
151.txt,20,1
152.txt,20,1
153.txt,20,1
154.txt,20,1
155.txt,20,1
156.txt,20,1
157.txt,7,1
158.txt,7,1
159.txt,16,1
160.txt,16,1
161.txt,8,1
162.txt,8,1
163.txt,8,1
164.txt,8,1
165.txt,8,1
166.txt,8,1
167.txt,8,1
168.txt,8,1
169.txt,8,1
170.txt,8,1
171.txt,5,1
172.txt,5,1
173.txt,5,1
174.txt,5,1
175.txt,20,1
176.txt,20,1
177.txt,8,1
178.txt,8,1
179.txt,6,1
180.txt,6,1
181.txt,1,1
182.txt,1,1
183.txt,2,1
184.txt,2,1
185.txt,3,1
186.txt,3,1
187.txt,5,1
188.txt,5,1
189.txt,6,1
190.txt,6,1
191.txt,1,1
192.txt,1,1
193.txt,20,1
194.txt,20,1
195.txt,1,1
196.txt,1,1
197.txt,1,1
198.txt,1,1
199.txt,4,1
200.txt,4,1
201.txt,6,1
202.txt,6,1
203.txt,3,1
204.txt,3,1
205.txt,1,1
206.txt,1,1
207.txt,20,1
208.txt,20,1
209.txt,8,1
210.txt,8,1
211.txt,5,1
212.txt,5,1
213.txt,3,1
214.txt,3,1
215.txt,20,1
216.txt,20,1
217.txt,1,1
218.txt,1,1
219.txt,4,1
220.txt,4,1
221.txt,20,1
222.txt,20,1
223.txt,20,1
224.txt,20,1
225.txt,4,1
226.txt,4,1
227.txt,1,1
228.txt,1,1
229.txt,20,1
230.txt,20,1
231.txt,20,1
232.txt,20,1
233.txt,20,1
234.txt,20,1
235.txt,20,1
236.txt,20,1
237.txt,4,1
238.txt,4,1
239.txt,7,1
240.txt,7,1
241.txt,15,1
242.txt,15,1
243.txt,2,1
244.txt,2,1
245.txt,7,1
246.txt,7,1
247.txt,4,1
248.txt,4,1
249.txt,4,1
250.txt,4,1
251.txt,8,1
252.txt,8,1
253.txt,8,1
254.txt,8,1
255.txt,4,1
256.txt,4,1
257.txt,8,1
258.txt,8,1
259.txt,2,1
260.txt,2,1
261.txt,4,1
262.txt,4,1
263.txt,4,1
264.txt,4,1
265.txt,1,1
266.txt,1,1
267.txt,15,1
268.txt,15,1
269.txt,20,1
270.txt,20,1
271.txt,4,1
